X_LL,Y_LL,Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO,Class
-117.434254,56.944689,LEL94-6,90,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.04,0.02,11.33,0.05,22.97,37.2,24.7,0.01,0.12,96.41,,,E
-112.946578,55.138726,NAT95-126,624,G_02_HIGH_TITANIUM_PYROPE  ,Garnet,8.12,0.04,8.78,0,24.52,34.53,20.16,0,0.2,96.36,,,A
-115.753433,56.847983,NAT95-134,60,G_09_CHROME_PYROPE  ,Garnet,0.19,3.56,7.98,18.99,5.01,38.92,21.18,0.03,0.35,96.2,,,D
-113.36651,55.658784,NAT95-129,614,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.04,0.04,12.45,0.01,23.03,36.9,23.33,0.02,0.37,96.19,,,C
-117.298613,56.98102,LEL94-4,86,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0,0,12.66,0.02,22.9,37.05,23.44,0.01,0.07,96.15,,,B
-115.973889,56.926389,NAT95-146,56,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.08,0.01,12.59,0.01,22.56,37.02,23.71,0,0.13,96.1,,,E
-114.620278,57.186443,NAT95-136,33,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.05,0,12.14,0.02,22.79,36.78,24.01,0,0.23,96.02,,,E
-113.835833,57.563333,NAT95-157,130,GROSSULAR  ,Garnet,0.49,8.01,4.76,0.16,33.83,35.63,12.2,0.02,0.61,95.72,,,E
-113.36651,55.658784,NAT95-129,615,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.08,0.06,13.75,0.04,22.84,36.73,22.14,0.01,0.02,95.67,,,D
-116.896667,56.689722,NAT95-143,52,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.15,0,12.65,0.01,21.92,37.24,23.31,0,0.34,95.63,,,D
-113.36651,55.658784,NAT95-129,618,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.16,0.01,12.41,0,22.43,37.27,23.18,0.01,0.17,95.62,,,E
-115.973889,56.926389,NAT95-146,57,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.17,0,12.55,0.02,21.97,37.4,23.29,0,0.19,95.59,,,D
