HOLEID,PROJECTCODE,SAMPLENO,FROM,TO,MidEast,MidNorth,MidRL,SAMPLETYPE,PRIORITY,Au_ppb,Zn_pct
19DD0002,CU_CLIFF,40377901,308,311,101599.9256,2189128.189,939.7700476,QuarterCore,1,6,0.00083
19DD0002,CU_CLIFF,40377902,311,313.33,101599.7259,2189127.832,937.1366505,QuarterCore,1,12,0.00145
19DD0002,CU_CLIFF,40377903,313.33,316,101599.5386,2189127.497,934.6662967,QuarterCore,1,5,0.0009
19DD0002,CU_CLIFF,40377905,316,319,101599.3262,2189127.117,931.8649156,QuarterCore,1,2,0.00331
19DD0002,CU_CLIFF,40377906,319,322,101599.0996,2189126.716,928.900418,QuarterCore,1,1,0.00045
19DD0002,CU_CLIFF,40377907,322,325,101598.8714,2189126.317,925.9358472,QuarterCore,1,1,0.00037
19DD0002,CU_CLIFF,40377908,325,328,101598.6432,2189125.918,922.9712764,QuarterCore,1,2,0.00086
19DD0002,CU_CLIFF,40377909,328,331,101598.4135,2189125.521,920.0066434,QuarterCore,1,2,0.00029
19DD0002,CU_CLIFF,40377911,331,334,101598.1823,2189125.124,917.0419482,QuarterCore,1,5,0.00118
19DD0002,CU_CLIFF,40377912,334,337,101597.9511,2189124.728,914.077253,QuarterCore,1,5,0.00108
19DD0002,CU_CLIFF,40377913,337,340,101597.7201,2189124.332,911.112468,QuarterCore,1,3,0.00144
19DD0002,CU_CLIFF,40377914,340,343,101597.4893,2189123.937,908.1475932,QuarterCore,1,2,0.00145
19DD0002,CU_CLIFF,40377915,343,345.16,101597.2909,2189123.597,905.5978008,QuarterCore,1,2,0.00153
19DD0002,CU_CLIFF,40377916,345.16,348,101597.0985,2189123.267,903.1270718,QuarterCore,1,10,0.00472
19DD0002,CU_CLIFF,40377917,348,350.76,101596.8842,2189122.899,900.3597286,QuarterCore,1,14,0.00205
19DD0002,CU_CLIFF,40377918,350.76,353,101596.6939,2189122.57,897.8887702,QuarterCore,1,5,0.00094
19DD0002,CU_CLIFF,40377919,353,356,101596.4945,2189122.225,895.2992058,QuarterCore,1,18,0.00033
19DD0002,CU_CLIFF,40377921,356,358,101596.3042,2189121.896,892.8282473,QuarterCore,1,7,0.00161
19DD0002,CU_CLIFF,40377922,358,359.51,101596.1712,2189121.666,891.0935653,QuarterCore,1,1,0.00546
19DD0002,CU_CLIFF,40377923,359.51,360.61,101596.0729,2189121.494,889.8036055,QuarterCore,1,8,0.00294
19DD0002,CU_CLIFF,40377925,360.61,363,101595.9415,2189121.265,888.0787167,QuarterCore,1,5,0.00126
19DD0002,CU_CLIFF,40377926,363,366,101595.7385,2189120.911,885.4147767,QuarterCore,1,4,0.00136
19DD0002,CU_CLIFF,40377927,366,369,101595.5126,2189120.517,882.4493518,QuarterCore,1,14,0.00589
19DD0002,CU_CLIFF,40377928,369,372,101595.2879,2189120.124,879.4837868,QuarterCore,1,4,0.00591
19DD0002,CU_CLIFF,40377929,372,375,101595.0644,2189119.73,876.5180818,QuarterCore,1,4,0.00094
19DD0002,CU_CLIFF,40377931,375,378,101594.8409,2189119.337,873.5523767,QuarterCore,1,8,0.00504
19DD0002,CU_CLIFF,40377932,378,379.46,101594.6748,2189119.045,871.3478693,QuarterCore,1,2,0.00203
19DD0002,CU_CLIFF,40377933,379.46,381.88,101594.5312,2189118.791,869.4299365,QuarterCore,1,15,0.00272
19DD0002,CU_CLIFF,40377934,381.88,384,101594.364,2189118.494,867.1856797,QuarterCore,1,1,0.00118
19DD0002,CU_CLIFF,40377935,384,385.7,101594.2232,2189118.244,865.2973403,QuarterCore,1,2,0.00088
19DD0002,CU_CLIFF,40377936,385.7,388,101594.0758,2189117.982,863.3200216,QuarterCore,1,2,0.00087
19DD0002,CU_CLIFF,40377937,388,389.96,101593.9188,2189117.703,861.2141771,QuarterCore,1,6,0.00199
19DD0002,CU_CLIFF,40377938,389.96,393,101593.7357,2189117.377,858.7424013,QuarterCore,1,4,0.00063
19DD0002,CU_CLIFF,40377939,393,396,101593.5153,2189116.982,855.756397,QuarterCore,1,2,0.0007
19DD0002,CU_CLIFF,40377941,396,399,101593.2964,2189116.59,852.7901676,QuarterCore,1,2,0.00032
19DD0002,CU_CLIFF,40377942,399,402,101593.0779,2189116.199,849.8238252,QuarterCore,1,3,0.00045
19DD0002,CU_CLIFF,40377943,402,405,101592.86,2189115.808,846.8573698,QuarterCore,1,3,0.00069
19DD0002,CU_CLIFF,40377945,405,408,101592.642,2189115.418,843.8909144,QuarterCore,1,4,0.0006
19DD0002,CU_CLIFF,40377946,408,411,101592.4244,2189115.028,840.9243312,QuarterCore,1,6,0.00085
19DD0002,CU_CLIFF,40377947,411,414,101592.207,2189114.639,837.9576201,QuarterCore,1,3,0.00507
19DD0002,CU_CLIFF,40377948,414,416.86,101591.9947,2189114.259,835.0601323,QuarterCore,1,3,0.00146
19DD0002,CU_CLIFF,40377949,416.86,419,101591.8136,2189113.934,832.587873,QuarterCore,1,4,0.00133
19DD0002,CU_CLIFF,40377951,419,422,101591.6277,2189113.602,830.0462581,QuarterCore,1,2,0.00075
19DD0002,CU_CLIFF,40377952,422,425,101591.411,2189113.215,827.0792821,QuarterCore,1,4,0.00078
19DD0002,CU_CLIFF,40377953,425,427,101591.2304,2189112.892,824.6068021,QuarterCore,1,1,0.00109
19DD0002,CU_CLIFF,40377954,427,428.8,101591.0931,2189112.646,822.7277173,QuarterCore,1,3,0.00033
19DD0002,CU_CLIFF,40377955,428.8,429.94,101590.987,2189112.457,821.2738509,QuarterCore,1,4,0.00168
19DD0002,CU_CLIFF,40377956,429.94,433,101590.8358,2189112.187,819.19679,QuarterCore,1,5,0.0005
19DD0002,CU_CLIFF,40377957,433,436,101590.6175,2189111.797,816.199888,QuarterCore,1,2,0.00025
19DD0002,CU_CLIFF,40377958,436,439,101590.4014,2189111.411,813.2326583,QuarterCore,1,1,0.00059
19DD0002,CU_CLIFF,40377959,439,442,101590.1856,2189111.026,810.2653072,QuarterCore,1,1,0.00116
19DD0002,CU_CLIFF,40377961,442,445,101589.97,2189110.642,807.2978348,QuarterCore,1,0.5,0.00121
19DD0002,CU_CLIFF,40377962,445,448,101589.7545,2189110.258,804.3303624,QuarterCore,1,1,0.00116
19DD0002,CU_CLIFF,40377963,448,451,101589.5393,2189109.874,801.3627659,QuarterCore,1,2,0.00108
19DD0002,CU_CLIFF,40377965,451,453,101589.3602,2189109.555,798.8896655,QuarterCore,1,2,0.00133
19DD0002,CU_CLIFF,40377966,453,454.9,101589.2205,2189109.307,796.9606471,QuarterCore,1,1,0.00073
19DD0002,CU_CLIFF,40377967,454.9,456,101589.113,2189109.115,795.4767869,QuarterCore,1,2,0.00049
19DD0002,CU_CLIFF,40377968,456,459,101588.9662,2189108.854,793.4488445,QuarterCore,1,4,0.00094
19DD0002,CU_CLIFF,40377969,459,461,101588.7871,2189108.535,790.9757119,QuarterCore,1,2,0.00052
19DD0002,CU_CLIFF,40377971,461,463.33,101588.6322,2189108.259,788.8339373,QuarterCore,1,3,0.00097
19DD0002,CU_CLIFF,40377972,463.33,466,101588.4533,2189107.941,786.3607565,QuarterCore,1,10,0.0212
19DD0002,CU_CLIFF,40377973,466,469,101588.2504,2189107.58,783.5561694,QuarterCore,1,19,0.00453
19DD0002,CU_CLIFF,40377974,469,471.72,101588.0457,2189107.216,780.7268505,QuarterCore,1,153,0.0101
19DD0002,CU_CLIFF,40377975,471.72,474,101587.8668,2189106.897,778.2536697,QuarterCore,1,7,0.00567
19DD0002,CU_CLIFF,40377976,474,477,101587.6779,2189106.561,775.6419907,QuarterCore,1,3,0.00768
19DD0002,CU_CLIFF,40377977,477,479.5,101587.4811,2189106.211,772.9214918,QuarterCore,1,3,0.00391
19DD0002,CU_CLIFF,40377978,479.5,482,101587.3022,2189105.892,770.448311,QuarterCore,1,4,0.00341
19DD0002,CU_CLIFF,40377979,482,485,101587.1054,2189105.542,767.727812,QuarterCore,1,3,0.00116
19DD0002,CU_CLIFF,40377981,485,488,101586.8907,2189105.16,764.759995,QuarterCore,1,1,0.00092
19DD0002,CU_CLIFF,40377982,488,491,101586.676,2189104.778,761.792178,QuarterCore,1,1,0.00098
19DD0002,CU_CLIFF,40377983,491,494,101586.4613,2189104.396,758.824361,QuarterCore,1,19,0.0087
19DD0002,CU_CLIFF,40377985,494,497,101586.2466,2189104.014,755.856544,QuarterCore,1,6,0.00148
19DD0002,CU_CLIFF,40377986,497,500,101586.0319,2189103.632,752.888727,QuarterCore,1,3,0.00099
19DD0002,CU_CLIFF,40377987,500,502,101585.853,2189103.314,750.4155462,QuarterCore,1,6,0.00064
19DD0002,CU_CLIFF,40377988,502,503.35,101585.7331,2189103.1,748.758515,QuarterCore,1,4,0.00081
19DD0002,CU_CLIFF,40377989,503.35,506,101585.59,2189102.846,746.7799703,QuarterCore,1,5,0.00354
19DD0002,CU_CLIFF,40377991,506,509,101585.3878,2189102.486,743.985276,QuarterCore,1,18,0.00447
19DD0002,CU_CLIFF,40377992,509,511,101585.2089,2189102.167,741.5120952,QuarterCore,1,11,0.00629
19DD0002,CU_CLIFF,40377993,511,512.98,101585.0665,2189101.914,739.5434432,QuarterCore,1,4,0.00138
16DD02,Atamai,AA804642,5,7.5,113385.56,2186634.53,1339.15,QuarterCore,1,102,0.0616
16DD02,Atamai,AA804629,32.5,35,113385.56,2186634.53,1311.65,QuarterCore,1,103,0.0267
16DD02,Atamai,AA804628,35,37.5,113385.56,2186634.53,1309.15,QuarterCore,1,71,0.0205
16DD02,Atamai,AA804627,37.5,40,113385.56,2186634.53,1306.65,QuarterCore,1,260,0.0642
16DD02,Atamai,AA804614,67.5,70,113385.56,2186634.53,1276.65,QuarterCore,1,54,0.0325
16DD02,Atamai,AA804610,75,77.5,113385.56,2186634.53,1269.15,QuarterCore,1,43,0.0339
16DD02,Atamai,AA804598,100,102.5,113385.56,2186634.53,1244.15,QuarterCore,1,172,0.0597
16DD02,Atamai,AA804585,130,132.5,113385.56,2186634.53,1214.15,QuarterCore,1,72,0.0397
16DD02,Atamai,AA804568,167.5,170,113385.5817,2186634.615,1176.650204,QuarterCore,1,60,0.0662
16DD02,Atamai,AA804565,175,177.5,113385.5919,2186634.651,1169.1503,QuarterCore,1,108,0.0958
16DD02,Atamai,AA804556,195,197.5,113385.6233,2186634.756,1149.150597,QuarterCore,1,189,0.137
16DD02,Atamai,AA804540,232.5,235,113385.7015,2186634.978,1111.651342,QuarterCore,1,73,0.0927
16DD02,Atamai,AA804523,272.5,275,113385.817,2186635.253,1071.652455,QuarterCore,1,28,0.0251
16DD02,Atamai,AA804519,280,282.5,113385.8426,2186635.308,1064.152703,QuarterCore,1,30,0.0264
16DD02,Atamai,AA803981,362.5,365,113386.224,2186635.994,981.6564633,QuarterCore,1,25,0.0413
16DD02,Atamai,AA803965,397.5,400,113386.446,2186636.322,946.6587021,QuarterCore,1,60,0.076
16DD02,Atamai,AA803962,405,407.5,113386.499,2186636.394,939.1592416,QuarterCore,1,107,0.119
16DD02,Atamai,AA803952,427.5,430,113386.6684,2186636.617,916.660979,QuarterCore,1,74,0.0823
16DD02,Atamai,AA803944,445,447.5,113386.8128,2186636.794,899.1624739,QuarterCore,1,89,0.133
16DD02,Atamai,AA803930,477.5,480,113387.1097,2186637.132,866.6655877,QuarterCore,1,47,0.0875
16DD02,Atamai,AA803892,557.5,560,113388.0147,2186637.995,786.6753968,QuarterCore,1,44,0.0865
16DD02,Atamai,AA803851,650,652.5,113389.3941,2186639,694.1912069,QuarterCore,1,131,0.187
